amp, amp;
gain, amp;
volume, amp;
a, amp;
g, amp;
v, amp;
beat, beat;
rhythm, beat;
b, beat;
filter, filter;
cutoff, filter;
f, filter;
timing, time;
time, time;
t, time;
envelope, env;
transient, env;
shape, env;
env, env;
e, env;
panning, pan;
pan, pan;
p, pan;
note, note;
pitch, note;
n, note;
slide, slide;
glide, slide;
portamento, slide;
porta, slide;
speed, speed;
rate, speed;
s, speed;
deep, sub;
sub, sub;
add_fx, add_fx;
with_fx, add_fx;
fx, add_fx;
effect, add_fx;
name, name;
resonance, res;
reson, res;
res, res;
length, res;
fm_depth, fm_depth;
fm_amount, fm_depth;
fm_gain, fm_depth;
fm_amp, fm_depth;
fm_g, fm_depth;
fm_d, fm_depth;
fm_a, fm_depth;
fm_index, fm_index;
fm_harmonic, fm_index;
harmonicity, fm_index;
harmonics, fm_index;
fm_i, fm_index;
fm_h, fm_index;
fm_env, fm_env;
fm_envelope, fm_env;
fm_shape, fm_env;
fm_e, fm_index;
stretch, stretch;
beatstretch, stretch;
loop, stretch;
solo, solo;
detune, detune;
tune, detune;
add_wave, wave2;
wave2, wave2;
osc2, wave2;
add_osc, wave2;
group, group;
offset, offset;
pos, offset;
position, offset;
off, offset;
